UBIGEO,Departament,y1991,y1992,y1993,y1994,y1995,y1996,y1997,coord_x,coord_y,AREA_K
1,AMAZONAS,836.86,1502.75,641.84,135.03,262.53,123.44,0,-78.05059179,-5.074019543,39657.73
2,ANCASH,2017.6,618.89,363.63,146.37,140.05,16.6,24.55,-77.67000285,-9.407779371,35948.49
3,APURIMAC,24.85,70.74,10.14,18.26,2.79,0,0,-72.97529687,-14.02787834,21112.18
4,AREQUIPA,2509.18,3658.7,632.59,170.83,18.57,0.98,2.06,-72.4749624,-15.84325675,63313.4
5,AYACUCHO,629.55,482.74,494.94,316.68,51.48,44.23,0.19,-74.08340516,-14.09186277,43535.38
6,CAJAMARCA,702.48,606.94,482.68,244.78,117.86,28.41,18.11,-78.7455632,-6.431749642,32986.36
7,CUSCO,507.95,73.96,29.53,39.02,1.52,1.23,0,-72.16634566,-13.18609453,72480.77
8,HUANCAVELICA,462.83,272.37,151.12,50.54,54.03,2.49,1,-75.0027704,-13.02403918,21871.04
9,HUANUCO,610.9,430.58,181.99,60.66,108.25,25.85,1.22,-76.0397277,-9.42180612,36990.26
10,ICA,535.84,650.36,393.22,135.37,116.82,19.26,4.24,-75.57354068,-14.23463432,21081.72
11,JUNIN,867.68,461.45,302.01,100.05,58.46,8.15,2.87,-74.88389403,-11.5370746,44326.18
12,LAMBAYEQUE,1993.48,930.38,109.58,31.59,57.98,27.04,13.2,-78.36828667,-7.920941768,25309.2
13,LIBERTAD,2608.99,985.92,220.7,91.02,142.51,24.24,10.69,-79.82333707,-6.35183512,14331.42
14,LIMA,1641.35,3380.71,603.65,241.15,354.05,38.75,11.22,-76.6268213,-11.78616556,34991.29
15,LORETO,3824.3,900.19,767.66,112.63,219.19,68.31,7.06,-74.42377854,-4.119615617,374702.45
16,MADRE DE DIOS,14.08,1.56,0,65.71,0,1.56,0,-70.52937722,-11.97692299,85030.71
17,MOQUEGUA,487.43,1049.18,779.26,51.64,22.69,11.74,5.48,-70.83863469,-16.860126,15814.01
18,PASCO,169.42,118.84,105.27,28.78,53.05,3.7,1.23,-75.30764853,-10.39666853,23956.62
19,PIURA,1697.82,572.52,75.18,111.3,46.82,5.31,1.29,-80.3345425,-5.132065793,36075.85
20,PUNO,22.09,15.13,46.39,135.03,22,2.11,1.74,-69.95356523,-14.93174694,68143.9
21,SANMARTIN,1865.88,1010.54,536.91,66.83,85.18,20.97,9.36,-76.72173767,-7.032692805,50714.07
22,TACNA,730.42,313.37,267.4,11.26,0.94,0,0,-70.2768173,-17.64481879,16077.53
23,TUMBES,1304.24,767.01,82.3,44.11,32.92,0,0,-80.54471148,-3.856307212,4688.61
24,UCAYALI,3149.86,606.56,880.57,270.42,650.38,294.29,69.65,-73.44871358,-9.617665582,105356.67
