UBIGEO,Departament,water,hygienic,populations,coord_x,coord_y,AREA_K
1,AMAZONAS,18,45,345101,-78.05059179,-5.074019543,39657.73
2,ANCASH,39,48,981760,-77.67000285,-9.407779371,35948.49
3,APURIMAC,14,73,394380,-72.97529687,-14.02787834,21112.18
4,AREQUIPA,57,26,920819,-72.4749624,-15.84325675,63313.4
5,AYACUCHO,26,75,524505,-74.08340516,-14.09186277,43535.38
6,CAJAMARCA,17,53,1281171,-78.7455632,-6.431749642,32986.36
7,CUSCO,23,67,1053244,-72.16634566,-13.18609453,72480.77
8,HUANCAVELICA,12,88,401663,-75.0027704,-13.02403918,21871.04
9,HUANUCO,18,63,657717,-76.0397277,-9.42180612,36990.26
10,ICA,57,27,565844,-75.57354068,-14.23463432,21081.72
11,JUNIN,42,47,1079426,-74.88389403,-11.5370746,44326.18
12,LAMBAYEQUE,53,25,924463,-78.36828667,-7.920941768,25309.2
13,LA LIBERTAD,49,35,1262368,-79.82333707,-6.35183512,14331.42
14,LIMA,65,14,6955197,-76.6268213,-11.78616556,34991.29
15,LORETO,29,42,708521,-74.42377854,-4.119615617,374702.45
16,MADRE DE DIOS,17,39,63917,-70.52937722,-11.97692299,85030.71
17,MOQUEGUA,57,38,127814,-70.83863469,-16.860126,15814.01
18,PASCO,23,67,243185,-75.30764853,-10.39666853,23956.62
19,PIURA,45,51,1392612,-80.3345425,-5.132065793,36075.85
20,PUNO,15,60,1090838,-69.95356523,-14.93174694,68143.9
21,SAN MARTIN,25,35,534172,-76.72173767,-7.032692805,50714.07
22,TACNA,65,23,213166,-70.2768173,-17.64481879,16077.53
23,TUMBES,51,31,151889,-80.54471148,-3.856307212,4688.61
24,UCAYALI,18,34,305823,-73.44871358,-9.617665582,105356.67
